Signal Length,Bits Per Pixel,Quantization Step Size,Sparse Representation Size,Wavelet Coefficients Size,Number of Non-Zero Coefficients
10768,0.050299,4161.598145,"1x10855 float","1x10855 float",91
10800,0.054014,4048.926025,"1x10886 float","1x10886 float",98
10832,0.054406,4071.351562,"1x10918 float","1x10918 float",99
10864,0.051512,4156.334473,"1x10949 float","1x10949 float",94
10896,0.051903,4060.934082,"1x10982 float","1x10982 float",95
10928,0.053936,4287.567383,"1x11013 float","1x11013 float",99
10960,0.052694,4158.569824,"1x11045 float","1x11045 float",97
10992,0.053088,4059.413574,"1x11076 float","1x11076 float",98
11024,0.054545,4045.575195,"1x11110 float","1x11110 float",101
11056,0.051701,4060.166504,"1x11141 float","1x11141 float",96
11088,0.054775,4076.282471,"1x11173 float","1x11173 float",102
11120,0.051946,4056.150391,"1x11204 float","1x11204 float",97
11152,0.054463,4036.901855,"1x11237 float","1x11237 float",102
11184,0.052183,4048.224854,"1x11268 float","1x11268 float",98
11216,0.053097,4046.996094,"1x11300 float","1x11300 float",100
11248,0.049775,3897.799316,"1x11331 float","1x11331 float",94
11280,0.051201,4245.523438,"1x11367 float","1x11367 float",97
11312,0.049482,3924.061523,"1x11398 float","1x11398 float",94
11344,0.051969,4153.594238,"1x11430 float","1x11430 float",99
11376,0.053922,4047.177490,"1x11461 float","1x11461 float",103
11408,0.049069,3900.674805,"1x11494 float","1x11494 float",94
11440,0.047896,3911.773438,"1x11525 float","1x11525 float",92
11472,0.049321,3929.859375,"1x11557 float","1x11557 float",95
11504,0.053849,4045.641113,"1x11588 float","1x11588 float",104
11536,0.048529,3908.066895,"1x11622 float","1x11622 float",94
11568,0.054578,4051.483154,"1x11653 float","1x11653 float",106
11600,0.052375,4056.607910,"1x11685 float","1x11685 float",102
11632,0.047627,3912.273682,"1x11716 float","1x11716 float",93
11664,0.054643,4055.229004,"1x11749 float","1x11749 float",107
11696,0.052462,4228.451172,"1x11780 float","1x11780 float",103
11728,0.047240,3908.250488,"1x11812 float","1x11812 float",93
11760,0.049650,3912.668457,"1x11843 float","1x11843 float",98
11792,0.047483,3918.750000,"1x11878 float","1x11878 float",94
11824,0.048871,3919.391113,"1x11909 float","1x11909 float",97
11856,0.048237,3926.913086,"1x11941 float","1x11941 float",96
11888,0.048613,3920.421387,"1x11972 float","1x11972 float",97
11920,0.053478,4050.196777,"1x12005 float","1x12005 float",107
11952,0.047856,3917.464844,"1x12036 float","1x12036 float",96
11984,0.053199,4059.274414,"1x12068 float","1x12068 float",107
12016,0.053558,4059.640137,"1x12099 float","1x12099 float",108
12048,0.048957,3931.585449,"1x12133 float","1x12133 float",99
12080,0.052779,4070.964355,"1x12164 float","1x12164 float",107
12112,0.054116,4194.152344,"1x12196 float","1x12196 float",110
12144,0.051525,4189.822266,"1x12227 float","1x12227 float",105
12176,0.054323,4059.540771,"1x12260 float","1x12260 float",111
12208,0.054674,4060.787109,"1x12291 float","1x12291 float",112
12240,0.053558,4064.543213,"1x12323 float","1x12323 float",110
12272,0.050510,4193.973633,"1x12354 float","1x12354 float",104
12304,0.053744,4053.864746,"1x12392 float","1x12392 float",111
12336,0.052161,4057.644043,"1x12423 float","1x12423 float",108
12368,0.051546,4061.337402,"1x12455 float","1x12455 float",107
12400,0.051418,4060.073242,"1x12486 float","1x12486 float",107
12432,0.047927,3933.381836,"1x12519 float","1x12519 float",100
12464,0.051155,4068.945801,"1x12550 float","1x12550 float",107
12496,0.051025,4525.754395,"1x12582 float","1x12582 float",107
12528,0.052803,4187.946289,"1x12613 float","1x12613 float",111
12560,0.053610,4050.939453,"1x12647 float","1x12647 float",113
12592,0.053952,4165.401855,"1x12678 float","1x12678 float",114
12624,0.049567,3909.904297,"1x12710 float","1x12710 float",105
12656,0.052272,4167.954590,"1x12741 float","1x12741 float",111
12688,0.054955,4042.255859,"1x12774 float","1x12774 float",117
12720,0.048262,3896.231689,"1x12805 float","1x12805 float",103
12752,0.050012,4182.421875,"1x12837 float","1x12837 float",107
12784,0.047560,3901.580078,"1x12868 float","1x12868 float",102
12816,0.049756,3911.355469,"1x12903 float","1x12903 float",107
12848,0.046853,3915.519531,"1x12934 float","1x12934 float",101
12880,0.051365,4368.882812,"1x12966 float","1x12966 float",111
12912,0.054012,4174.389160,"1x12997 float","1x12997 float",117
12944,0.049731,3912.224609,"1x13030 float","1x13030 float",108
12976,0.047316,3908.126221,"1x13061 float","1x13061 float",103
13008,0.053616,4193.327637,"1x13093 float","1x13093 float",117
13040,0.051204,4182.564941,"1x13124 float","1x13124 float",112
13072,0.054264,4169.250977,"1x13158 float","1x13158 float",119
13104,0.049132,3907.117188,"1x13189 float","1x13189 float",108
13136,0.054913,4044.320557,"1x13221 float","1x13221 float",121
13168,0.054784,4038.364502,"1x13252 float","1x13252 float",121
13200,0.053293,4200.782715,"1x13285 float","1x13285 float",118
13232,0.048213,3931.591797,"1x13316 float","1x13316 float",107
13264,0.052592,4400.162109,"1x13348 float","1x13348 float",117
13296,0.051125,4179.360352,"1x13379 float","1x13379 float",114
13328,0.048751,3906.310547,"1x13415 float","1x13415 float",109
13360,0.050870,4184.311523,"1x13446 float","1x13446 float",114
13392,0.047633,3917.178223,"1x13478 float","1x13478 float",107
13424,0.050189,4183.865723,"1x13509 float","1x13509 float",113
13456,0.051396,4171.957031,"1x13542 float","1x13542 float",116
13488,0.048184,3902.857178,"1x13573 float","1x13573 float",109
13520,0.049835,3907.690918,"1x13605 float","1x13605 float",113
13552,0.047081,3909.885254,"1x13636 float","1x13636 float",107
13584,0.050914,4187.433594,"1x13670 float","1x13670 float",116
13616,0.049485,3924.314453,"1x13701 float","1x13701 float",113
13648,0.050681,4194.089844,"1x13733 float","1x13733 float",116
13680,0.054054,4173.179688,"1x13764 float","1x13764 float",124
13712,0.048706,3906.690918,"1x13797 float","1x13797 float",112
13744,0.047295,3911.512207,"1x13828 float","1x13828 float",109
13776,0.048052,3915.213379,"1x13860 float","1x13860 float",111
13808,0.047081,3915.515137,"1x13891 float","1x13891 float",109
13840,0.048255,3914.697754,"1x13926 float","1x13926 float",112
13872,0.045998,3910.295410,"1x13957 float","1x13957 float",107
13904,0.046322,3911.185547,"1x13989 float","1x13989 float",108
13936,0.047932,3915.398926,"1x14020 float","1x14020 float",112
13968,0.046538,3917.041992,"1x14053 float","1x14053 float",109
14000,0.047714,3920.641113,"1x14084 float","1x14084 float",112
14032,0.053131,4061.181641,"1x14116 float","1x14116 float",125
14064,0.052591,4192.943848,"1x14147 float","1x14147 float",124
14096,0.049080,3909.351562,"1x14181 float","1x14181 float",116
14128,0.046862,3917.813477,"1x14212 float","1x14212 float",111
14160,0.047599,3918.203613,"1x14244 float","1x14244 float",113
14192,0.054641,4055.293457,"1x14275 float","1x14275 float",130
14224,0.054934,4054.154785,"1x14308 float","1x14308 float",131
14256,0.047284,3917.125977,"1x14339 float","1x14339 float",113
14288,0.054693,4051.583984,"1x14371 float","1x14371 float",131
14320,0.054576,4054.066895,"1x14402 float","1x14402 float",131
14352,0.054020,4056.113281,"1x14439 float","1x14439 float",130
14384,0.051002,4220.895508,"1x14470 float","1x14470 float",123
14416,0.053786,4070.619141,"1x14502 float","1x14502 float",130
14448,0.054084,4060.746094,"1x14533 float","1x14533 float",131
14480,0.051490,6216.849609,"1x14566 float","1x14566 float",125
14512,0.047270,3922.685547,"1x14597 float","1x14597 float",115
14544,0.054549,4054.759766,"1x14629 float","1x14629 float",133
14576,0.048704,3933.120605,"1x14660 float","1x14660 float",119
14608,0.053491,4059.801270,"1x14694 float","1x14694 float",131
14640,0.050119,4176.854492,"1x14725 float","1x14725 float",123
14672,0.047571,3903.355957,"1x14757 float","1x14757 float",117
14704,0.049500,3929.666504,"1x14788 float","1x14788 float",122
14736,0.054652,4056.633789,"1x14821 float","1x14821 float",135
14768,0.054538,4055.271484,"1x14852 float","1x14852 float",135
14800,0.048374,3933.728027,"1x14884 float","1x14884 float",120
14832,0.047067,3937.176758,"1x14915 float","1x14915 float",117
14864,0.050569,4374.482422,"1x14950 float","1x14950 float",126
14896,0.052867,4214.599609,"1x14981 float","1x14981 float",132
14928,0.047958,3911.404297,"1x15013 float","1x15013 float",120
14960,0.049455,3913.728027,"1x15044 float","1x15044 float",124
14992,0.047755,3928.212402,"1x15077 float","1x15077 float",120
15024,0.054408,4058.735840,"1x15108 float","1x15108 float",137
15056,0.054293,4056.208984,"1x15140 float","1x15140 float",137
15088,0.054973,4048.325928,"1x15171 float","1x15171 float",139
15120,0.047747,3927.698242,"1x15205 float","1x15205 float",121
15152,0.049226,3943.509766,"1x15236 float","1x15236 float",125
15184,0.048729,3920.359131,"1x15268 float","1x15268 float",124
15216,0.047454,3930.851318,"1x15299 float","1x15299 float",121
15248,0.047352,4044.903320,"1x15332 float","1x15332 float",121
15280,0.051162,4192.983398,"1x15363 float","1x15363 float",131
15312,0.049886,3925.279785,"1x15395 float","1x15395 float",128
15344,0.049397,3936.728271,"1x15426 float","1x15426 float",127
15376,0.050446,4168.323242,"1x15462 float","1x15462 float",130
15408,0.054993,4058.825684,"1x15493 float","1x15493 float",142
15440,0.054879,4061.821289,"1x15525 float","1x15525 float",142
15472,0.048213,3936.984619,"1x15556 float","1x15556 float",125
15504,0.054654,4067.908691,"1x15589 float","1x15589 float",142
15536,0.054545,4059.986084,"1x15620 float","1x15620 float",142
15568,0.047534,3938.243896,"1x15652 float","1x15652 float",124
15600,0.053944,4072.067383,"1x15683 float","1x15683 float",141
15632,0.053064,4066.688721,"1x15717 float","1x15717 float",139
15664,0.053340,4764.265137,"1x15748 float","1x15748 float",140
15696,0.047909,3924.829590,"1x15780 float","1x15780 float",126
15728,0.054646,4046.321777,"1x15811 float","1x15811 float",144
15760,0.054153,4048.020508,"1x15844 float","1x15844 float",143
15792,0.054803,4066.251465,"1x15875 float","1x15875 float",145
15824,0.048281,3908.711914,"1x15907 float","1x15907 float",128
15856,0.053081,4054.418457,"1x15938 float","1x15938 float",141
15888,0.053340,4063.924805,"1x15973 float","1x15973 float",142
15920,0.053237,4063.117188,"1x16004 float","1x16004 float",142
15952,0.052382,4056.010498,"1x16036 float","1x16036 float",140
15984,0.054148,4070.902344,"1x16067 float","1x16067 float",145
16016,0.049565,3965.899170,"1x16100 float","1x16100 float",133
16048,0.053190,4072.834473,"1x16131 float","1x16131 float",143
16080,0.051599,4219.564941,"1x16163 float","1x16163 float",139
16112,0.050760,4216.559082,"1x16194 float","1x16194 float",137
16144,0.054351,4069.251221,"1x16228 float","1x16228 float",147
16176,0.054247,4071.734131,"1x16259 float","1x16259 float",147
16208,0.054140,4070.673584,"1x16291 float","1x16291 float",147
16240,0.049994,3901.453125,"1x16322 float","1x16322 float",136
16272,0.053562,4053.316406,"1x16355 float","1x16355 float",146
16304,0.053826,4064.194336,"1x16386 float","1x16386 float",147
16336,0.054452,4076.308594,"1x16418 float","1x16418 float",149
16368,0.052526,4063.611084,"1x16449 float","1x16449 float",144
16400,0.049830,3861.844727,"1x16496 float","1x16496 float",137
16432,0.046832,3926.255615,"1x16527 float","1x16527 float",129
16464,0.054713,4313.870605,"1x16559 float","1x16559 float",151
16496,0.047740,3642.633057,"1x16590 float","1x16590 float",132
16528,0.046201,3956.824951,"1x16623 float","1x16623 float",128
16560,0.054401,4191.606934,"1x16654 float","1x16654 float",151
16592,0.046386,3948.829590,"1x16686 float","1x16686 float",129
16624,0.054196,4222.311523,"1x16717 float","1x16717 float",151
16656,0.054445,4254.954102,"1x16751 float","1x16751 float",152
16688,0.045763,3970.131836,"1x16782 float","1x16782 float",128
16720,0.054241,4140.338867,"1x16814 float","1x16814 float",152
16752,0.054141,4165.961914,"1x16845 float","1x16845 float",152
16784,0.046570,3937.475098,"1x16878 float","1x16878 float",131
16816,0.048258,3919.955566,"1x16909 float","1x16909 float",136
16848,0.052771,4197.415039,"1x16941 float","1x16941 float",149
16880,0.052675,4437.843750,"1x16972 float","1x16972 float",149
16912,0.047275,3936.285889,"1x17007 float","1x17007 float",134
